rank,oas_record_hash,source_file,source_row_index,background_source,oas_project_like_score,retrieval_score,saved_retrieval_score_available,max_positive_neighbor_similarity,top5_positive_neighbor_similarity,top10_positive_neighbor_similarity,nearest_project_positive_hash,positive_centroid_similarity,diversity_cluster,selected_diverse_shortlist,heavy_length,light_length,total_length,unusual_length_flag,cysteine_count_flag,glycosylation_motif_count,hydrophobic_fraction,hydrophobic_fraction_flag,duplicate_or_near_duplicate_flag,risk_flag_count,review_notes
11,27b30017a26b56f2f1c0763f16f35f5e3f6a0c651be03f252cc8258056a0d95d,SRR10358525_paired.csv.gz,429,OAS_paired_unknown_target_background,0.8769256916366517,0.9526974978875096,True,0.7663900876478581,0.7189525147582138,0.6689823550500344,44dc59cf679c77b9c4ea0ba253a3f47294555e54152a18306f2c3ed810f8dbf9,0.4761414777246752,cluster_011,True,129,107,236,False,False,0,0.3855932203389831,False,False,0,diverse existing-record shortlist for expert review
12,70208bbf3d9c2605e4107b7ed1359ccbb6d1715591d1ab2ad98e960369695fe3,SRR10358525_paired.csv.gz,181,OAS_paired_unknown_target_background,0.8748527281463516,0.9472604846202486,False,0.7659307406622445,0.7303530912231938,0.6962715875523952,0763f18c86f020f62228023bf01da57cd9750e9da5dc88ccdc02564597db467c,0.43753679923680244,cluster_012,True,116,110,226,False,False,0,0.3672566371681416,False,False,0,diverse existing-record shortlist for expert review
13,d12d71c86080162a802db9fb6f3e797e550261ba737af453b4b807cbf42c8d50,SRR10358525_paired.csv.gz,327,OAS_paired_unknown_target_background,0.8717099523794362,0.92372645315749,False,0.8216959929712644,0.7116494623655301,0.6683107799458001,f19d28f0f907a9f03e8a08ad9b81ced3397846bb01a425fd6e81a1e9c69fff2c,0.42153177551343757,cluster_013,True,121,110,231,False,False,0,0.38961038961038963,False,False,0,diverse existing-record shortlist for expert review
14,447018e3e7bc1245f3a50170dec93ac991e4e859a113127a5f64c48f30cde85a,SRR10358525_paired.csv.gz,658,OAS_paired_unknown_target_background,0.871142109252538,0.9358993051797557,False,0.7237012079963674,0.7112131835785049,0.7009866249385811,9343a3e1b8ced64bc3fb262af1a745d9ac1ad211a9902f56e43e180821442b70,0.5018407958450453,cluster_014,True,122,108,230,False,False,0,0.3869565217391304,False,False,0,diverse existing-record shortlist for expert review
15,e38f19e1147d2723dcb8bb750cf1873683c3bef635a27c9024a121e2bef825e0,SRR10358525_paired.csv.gz,515,OAS_paired_unknown_target_background,0.8702240754933996,0.9485451113434464,True,0.7479458595962396,0.7214860416903024,0.6939458995288877,9dd5a61cc2d8e2e9de3a8f521041ad1c85a797452ca4443e4ab7e9a238b32e0c,0.44438635169886115,cluster_015,True,116,111,227,False,False,0,0.3700440528634361,False,False,0,diverse existing-record shortlist for expert review
16,848d423637db51db39bc7877e4c93579cdae75d824e01924af5b20160e731658,SRR10358525_paired.csv.gz,297,OAS_paired_unknown_target_background,0.8642652888567299,0.9519702677836828,False,0.7211205559568019,0.6753596187314678,0.636837208213703,36e6797e80af8f95e0cadab8cdeb0edb3a5a1f2ae86febb6ee57b1804386d01e,0.534842148280471,cluster_016,True,122,107,229,False,False,0,0.37554585152838427,False,False,0,diverse existing-record shortlist for expert review
17,e6d9718997769a235005e18b5715c86f7fbaf6a20f0e32212b71cbcc4aa01307,SRR10358525_paired.csv.gz,287,OAS_paired_unknown_target_background,0.8639490202225678,0.962996243352209,False,0.7282495267217743,0.6932813728315618,0.6495675711553744,08be71e0ed7683c5f16896ecdac8f8a3eca9826849a285cfe3fb6dde46054168,0.4815973725566493,cluster_017,True,117,108,225,False,False,0,0.37777777777777777,False,False,0,diverse existing-record shortlist for expert review
18,1af34b305bed6c33037825e1ff3fb3a5f2da8b977f198879cd3e82ce04db0f9c,SRR10358525_paired.csv.gz,538,OAS_paired_unknown_target_background,0.8634409264335576,0.9705673449676375,False,0.8250838723998185,0.6878989065529504,0.6182675616694993,500af8eccc2ce4e8755232b947777c3d7396e2868750e11202e3545d0945e406,0.3568976899997103,cluster_018,True,130,111,241,False,False,0,0.34854771784232363,False,False,0,diverse existing-record shortlist for expert review
19,f9bb43df7d097c38d3806fdfc737482cd7b4307d7623a0a0cb48d048bf0495c4,SRR10358525_paired.csv.gz,644,OAS_paired_unknown_target_background,0.86321024409382,0.9693713949231597,False,0.736901412515737,0.6777668960366234,0.6354993136334197,575ea60ff346976ef43708f13f8361bf6b968b0079d90c565f2d174f1b6d7f4e,0.47236044435208596,cluster_019,True,123,109,232,False,False,0,0.38362068965517243,False,False,0,diverse existing-record shortlist for expert review
20,872e71838bd7d60bf71b411f98c2d02e3dddbed6f6ffa7c545876d7cbfc7e947,SRR10358525_paired.csv.gz,359,OAS_paired_unknown_target_background,0.862538920262629,0.9279957883687383,False,0.8603081891486937,0.7306215081695566,0.6548784608622278,4e90cbcd1389665b828bfac77da4863c301a370462056841f8e49b0e82f34646,0.32719588964110535,cluster_020,True,125,109,234,False,False,0,0.36752136752136755,False,False,0,diverse existing-record shortlist for expert review
21,a4e7aa72871bdb32e0f1d831361b951e429653efcf9e3c0037f46ad329fcbc2a,SRR10358525_paired.csv.gz,626,OAS_paired_unknown_target_background,0.862038405292616,0.957629543510407,False,0.7178186281518067,0.6730614237697834,0.6493467893225037,08be71e0ed7683c5f16896ecdac8f8a3eca9826849a285cfe3fb6dde46054168,0.4997415854525763,cluster_021,True,120,108,228,False,False,0,0.3815789473684211,False,False,0,diverse existing-record shortlist for expert review
22,6166c55b7533f3bc2c2f8e1e4e1a9c2119e3a0f5d68ed55ee15c257282ccd991,SRR10358525_paired.csv.gz,571,OAS_paired_unknown_target_background,0.8602547104131579,0.9241789765118316,False,0.7845162027981051,0.6923156438556204,0.6660943135919711,988b7ceed1d17f76ea4b30e9a1bc1c86a6d09150256fa21142cadbf1aedd95a5,0.42708493506259027,cluster_022,True,119,110,229,False,False,0,0.3799126637554585,False,False,0,diverse existing-record shortlist for expert review
23,8ffcaf4a535e7690be33e7cc22caf0c115e2a636982fdb779742f32c25b0c0b1,SRR10358525_paired.csv.gz,577,OAS_paired_unknown_target_background,0.8574016544799521,0.9515630035968453,False,0.7513391903094384,0.6689075226517739,0.6264205199149233,575ea60ff346976ef43708f13f8361bf6b968b0079d90c565f2d174f1b6d7f4e,0.4697979153218363,cluster_023,True,120,109,229,False,False,0,0.3799126637554585,False,False,0,diverse existing-record shortlist for expert review
24,3f95cdc6cdcb94d451209bd8caf712c97859738a1f7ef2bf396e2dbd10050b48,SRR10358525_paired.csv.gz,424,OAS_paired_unknown_target_background,0.8570597884550422,0.8968185734066196,False,0.8855673197342285,0.7443063796715205,0.6620254226525837,4e90cbcd1389665b828bfac77da4863c301a370462056841f8e49b0e82f34646,0.3117285523587604,cluster_024,True,122,108,230,False,False,0,0.3652173913043478,False,False,0,diverse existing-record shortlist for expert review
25,d057d7bd8a61b8dd40c8ab97a6f639722839931b47fd006f87acdcb53a5e5ced,SRR10358525_paired.csv.gz,154,OAS_paired_unknown_target_background,0.8569223719798446,0.9444176274152808,False,0.838931164640498,0.7302679975610568,0.6494369314491103,4e90cbcd1389665b828bfac77da4863c301a370462056841f8e49b0e82f34646,0.30929293613717473,cluster_025,True,125,108,233,False,False,0,0.36909871244635195,False,False,0,diverse existing-record shortlist for expert review
